"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Toyota","Auris","2008 (08 reg)",NA,"2.0L","Manual","138,343 miles","Diesel","5","2.0 D-4D T3 5dr"
"Vauxhall","Zafira","2013 (13 reg)","£495","Manual","Manual","86,000 miles
4,028 miles below average","Diesel","7","1.7 CDTi ecoFLEX Design MPV 5dr Diesel Manual Euro 5 (SNav) (125 ps)"
"Nissan","Juke","2013 (13 reg)",NA,"1.5L","Manual","70,969 miles
22,156 miles below average","Diesel","5","1.5 dCi 8v Visia SUV 5dr Diesel Manual Euro 5 (s/s) (110 ps)"
"Volkswagen","E-golf","2020 (70 reg)","£10,531","Hatchback","Automatic","34,590 miles
9,029 miles above average","Electric","5","35.8kWh e-Golf (136 ps) - DAB - USB AUDIO - SPLIT FOLDING REAR SEATS 5dr"
NA,NA,NA,NA,"5",NA,NA,NA,NA,NA
"Ford","Mondeo","2007 (07 reg)","£495","1.8L","Manual","113,000 miles","Diesel","5","1.8 TDCi Ghia 5dr"
"Citroen","C3","2013 (62 reg)","£995","Manual","Manual","168,000 miles
88,610 miles above average","Diesel","5","1.4 HDi VTR+ Euro 5 5dr"
"Nissan","Qashqai","2016 (16 reg)","£6,750","1.2L","Manual","73,229 miles
12,547 miles above average","Petrol","5","1.2 DIG-T n-tec 2WD Euro 6 (s/s) 5dr"
"Fiat","500L","2014 (14 reg)","£500","1.3L","Manual","67,219 miles
10,099 miles below average","Diesel","5","1.3 MultiJet Pop Star MPW Euro 5 (s/s) 5dr"
"Vauxhall","Corsa","2012 (62 reg)","£500","1.4L","Manual","120,000 miles
48,068 miles above average","Petrol","5","1.4 16V SXi Hatchback 5dr Petrol Manual Wide Ratio Euro 5 (A/C) (100 ps)"
"KIA","Ceed","2010 (10 reg)","£750","1.6L","Manual","89,000 miles
4,157 miles below average","Petrol","5","1.6 3 Sports Wagon Euro 4 5dr"
"Renault","Clio","2002 (52 reg)","£1,495","1.5L","Manual","82,000 miles","Diesel","3","1.5 dCi Dynamique + 3dr"
"Volkswagen","Golf","2008 (58 reg)","£750","1.9L","Manual","119,000 miles","Diesel","5","1.9 TDI Match Hatchback 5dr Diesel Manual (132 g/km, 103 bhp)"
"Ford","Focus","2009 (59 reg)","£995","Manual","Manual","117,896 miles","Petrol","5","1.6 Zetec Hatchback 5dr Petrol Manual (161 g/km, 99 bhp)"
"Vauxhall","Corsa","2010 (11 reg)","£500","Manual","Manual","104,033 miles
13,080 miles above average","Diesel","5","1.3 CDTi ecoFLEX Active 5dr"
"Volkswagen","Scirocco","2012 (12 reg)","£2,000","2.0L","Manual","167,000 miles
64,690 miles above average","Diesel","3","2.0 TDI BlueMotion Tech GT Euro 5 (s/s) 3dr"
"Audi","A4","2021 (21 reg)",NA,"2.0L","Automatic","32,817 miles
2,134 miles above average","Petrol","4","Black Edition 35 TFSI 150 PS S tronic 2.0 4dr"
NA,NA,NA,NA,"Automatic",NA,NA,NA,"5",NA
"Nissan","Note","2009 (09 reg)","£695","1.4L","Manual","137,000 miles","Petrol","5","1.4 16V Acenta Euro 4 5dr"
"Renault","Megane","2008 (08 reg)","£450","1.9L","Manual","157,000 miles","Diesel","5","1.9 dCi FAP Expression Hatchback 5dr Diesel Manual (145 g/km, 130 bhp)"
"Mazda","Mazda3","2013 (62 reg)","£2,990","Manual","Manual","84,000 miles
14,406 miles below average","Diesel","5","1.6d Venture Euro 5 5dr"
