"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description","Car Age","Price per Mile","Engine Efficiency(mile/ltr)"
"Honda","Jazz Crosstar 1.5 i-MMD Hybrid Crosstar EX 5dr eCVT",2022,20900,1.5,"Automatic",3188,"Hybrid",5,"Honda Jazz Crosstar 1.5 i-MMD Hybrid Crosstar EX 5dr eCVT 1.5  Automatic Hybrid 5 2022",3,6.56,2125.33
"Honda","CR-V 1.5 VTEC Turbo SR 5dr CVT",2020,21000,1.5,"Automatic",26039,"Petrol",5,"Honda CR-V 1.5 VTEC Turbo SR 5dr CVT 1.5  Automatic Petrol 5 2020",5,0.81,17359.33
"DS","DS 9 1.6 E-TENSE Rivoli + 4dr EAT8",2021,21250,1.6,"Semiauto",24396,"Hybrid",4,"DS DS 9 1.6 E-TENSE Rivoli + 4dr EAT8 1.6  Semiauto Hybrid 4 2021",4,0.87,15247.5
"MG","ZS 1.5 Hybrid Trophy 5dr Auto",2024,21290,1.5,"Automatic",3,"Hybrid",5,"MG ZS 1.5 Hybrid Trophy 5dr Auto 1.5  Automatic Hybrid 5 2024",1,7096.67,2
"Honda","Jazz 1.5 i-MMD Hybrid Elegance 5dr eCVT",2024,23450,1.5,"Automatic",2000,"Hybrid",5,"Honda Jazz 1.5 i-MMD Hybrid Elegance 5dr eCVT 1.5  Automatic Hybrid 5 2024",1,11.72,1333.33
"Honda","Jazz 1.5 i-MMD Hybrid Elegance 5dr eCVT",2024,23450,1.5,"Automatic",3000,"Hybrid",5,"Honda Jazz 1.5 i-MMD Hybrid Elegance 5dr eCVT 1.5  Automatic Hybrid 5 2024",1,7.82,2000
"Honda","CR-V 2.0 i-MMD Hybrid Sport Line 2WD 5dr eCVT",2021,24600,2,"Automatic",17032,"Hybrid",5,"Honda CR-V 2.0 i-MMD Hybrid Sport Line 2WD 5dr eCVT 2.0  Automatic Hybrid 5 2021",4,1.44,8516
"Honda","CR-V 2.0 i-MMD Hybrid SR 5dr eCVT",2021,24750,2,"Automatic",15166,"Hybrid",5,"Honda CR-V 2.0 i-MMD Hybrid SR 5dr eCVT 2.0  Automatic Hybrid 5 2021",4,1.63,7583
"Honda","CR-V 2.0 i-MMD Hybrid EX 5dr eCVT",2020,24900,2,"Automatic",20184,"Hybrid",5,"Honda CR-V 2.0 i-MMD Hybrid EX 5dr eCVT 2.0  Automatic Hybrid 5 2020",5,1.23,10092
"Honda","Jazz 1.5 i-MMD Hybrid Advance 5dr eCVT",2024,25000,1.5,"Automatic",2000,"Hybrid",5,"Honda Jazz 1.5 i-MMD Hybrid Advance 5dr eCVT 1.5  Automatic Hybrid 5 2024",1,12.5,1333.33
"Honda","HR-V 1.5 eHEV Advance 5dr CVT",2023,25000,1.5,"Automatic",11493,"Hybrid",5,"Honda HR-V 1.5 eHEV Advance 5dr CVT 1.5  Automatic Hybrid 5 2023",2,2.18,7662
"Honda","HR-V 1.5 eHEV Advance 5dr CVT",2023,25650,1.5,"Automatic",7120,"Hybrid",5,"Honda HR-V 1.5 eHEV Advance 5dr CVT 1.5  Automatic Hybrid 5 2023",2,3.6,4746.67
"Honda","HR-V 1.5 eHEV Advance 5dr CVT",2023,25700,1.5,"Automatic",4919,"Hybrid",5,"Honda HR-V 1.5 eHEV Advance 5dr CVT 1.5  Automatic Hybrid 5 2023",2,5.22,3279.33
"Volvo","XC40 2.0 B4P R DESIGN Pro 5dr Auto [7 speed]",2022,25950,2,"Semiauto",33775,"Hybrid",5,"Volvo XC40 2.0 B4P R DESIGN Pro 5dr Auto [7 speed] 2.0  Semiauto Hybrid 5 2022",3,0.77,16887.5
