"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Tesla","Model 3 Standard Plus 4dr Auto","2021","£18,850",NA,"Automatic","27,300 miles","-","4 Door","2021 Tesla Model 3 Saloon"
"Nissan","Qashqai 1.3 DiG-T MH 158 N-Connecta 5dr Xtronic","2025","£32,500",1.3,"Automatic","5,001 miles","-","5 Door","2025 Nissan Qashqai SUV"
"Ford","Puma 1.0 EcoBoost Hybrid mHEV ST-Line 5dr","2024","£21,495",1,"Manual","2,851 miles","-","5 Door","2024 Ford Puma SUV"
"Skoda","Karoq 1.6 TDI SE L 5dr DSG","2019","£14,495",1.6,"Automatic","52,099 miles","Diesel","5 Door","2019 Skoda Karoq SUV"
"Hyundai","IONIQ 1.6 GDi Hybrid Premium SE 5dr DCT","2021","£15,700",1.6,"Automatic","25,499 miles","-","5 Door","2021 Hyundai IONIQ Hatchback"
"Kia","Sorento 1.6 T-GDi HEV 4 5dr Auto","2023","£36,000",1.6,"Automatic","25,146 miles","-","5 Door","2023 Kia Sorento SUV"
"Mazda","6 2.0 SE Nav 4dr","2017","£12,354",2,"Manual","21,859 miles","Petrol","4 Door","2017 Mazda 6 Saloon"
"Vauxhall","Astra 1.4i 16V Excite 5dr","2015","£5,995",1.4,"Manual","43,408 miles","Petrol","5 Door","2015 Vauxhall Astra Hatchback"
"Volkswagen","Polo 1.0 TSI Match 5dr","2024","£19,449",1,"Manual","2,411 miles","Petrol","5 Door","2024 Volkswagen Polo Hatchback"
"Audi","A1 30 TFSI 110 Sport 5dr","2022","£19,795",1,"Manual","6,242 miles","Petrol","5 Door","2022 Audi A1 Hatchback"
"Ford","TRANSIT CUSTOM 2.0 320 Limited EcoBlue Automatic 170 BHP L1 H1 Euro 6 ULEZ Free","2021","£23,388",2,"Automatic","35,043 miles","Diesel","5 Door","2021 Ford TRANSIT CUSTOM"
"Audi","A5 40 TFSI 204 S Line 2dr S Tronic [Tech Pack Pro]","2022","£27,282",2,"Automatic","6,625 miles","Petrol","-","2022 Audi A5 Coupe"
"Ford","TRANSIT 2.0 350 FWD Leader EcoBlue Automatic 170 BHP L3 H2 Euro 6 ULEZ Free","2022","£23,388",2,"Automatic","22,726 miles","Diesel","5 Door","2022 Ford TRANSIT"
"Vauxhall","Insignia 1.5T SRi Vx-line Nav 5dr","2019","£12,995",1.5,"Manual","28,441 miles","Petrol","5 Door","2019 Vauxhall Insignia Hatchback"
"Nissan","Qashqai 1.5 E-Power N-Connecta 5dr Auto","2023","£22,649",1.5,"Automatic","15,288 miles","-","5 Door","2023 Nissan Qashqai SUV"
"Mg","MG5 115kW Exclusive EV 53kWh 5dr Auto","2021","£11,563",NA,"Automatic","38,712 miles","-","5 Door","2021 Mg MG5 Estate"
"Mitsubishi","L200 Double Cab DI-D 178 Barbarian 4WD Auto","2019","£19,900",2.4,"Automatic","46,761 miles","Diesel","-","2019 Mitsubishi L200 Van"
"Lexus","NX 300h 2.5 Luxury 5dr CVT","2017","£16,500",2.5,"Automatic","78,888 miles","-","5 Door","2017 Lexus NX SUV"
"Citroen","C3 1.2 PureTech Touch 5dr","2018","£7,349",1.2,"Manual","24,233 miles","Petrol","5 Door","2018 Citroen C3 Hatchback"
"Mg","HS 1.5 T-GDI PHEV Trophy 5dr Auto","2023","£20,999",1.5,"Automatic","7,762 miles","-","5 Door","2023 Mg HS SUV"
"Vauxhall","Corsa 1.2 Turbo SE Premium 5dr Auto","2020","£13,151",1.2,"Automatic","20,317 miles","Petrol","5 Door","2020 Vauxhall Corsa Hatchback"
"Kia","SPORTAGE 1.6 CRDI 2 ISG 5d 135 BHP","2018","£13,990",1.6,"Automatic","73,055 miles","Diesel","5 Door","2018 Kia SPORTAGE Estate"
"Nissan","Qashqai 1.3 DiG-T MH 158 N-Design 5dr Xtronic","2024","£29,055",1.3,"Automatic","3,985 miles","-","5 Door","2024 Nissan Qashqai SUV"
"Vauxhall","Combo Cargo 2300 1.5 Turbo D 100ps H1 Prime Van","2024","£20,394",1.5,"Manual","3,500 miles","Diesel","-","2024 Vauxhall Combo Cargo Van"
"Skoda","Fabia 1.0 TSI 116 SE L 5dr DSG","2024","£17,800",1,"Automatic","10,716 miles","Petrol","5 Door","2024 Skoda Fabia Hatchback"
"Audi","Q2 1.6 TDI S Line 5dr","2018","£13,623",1.6,"Manual","52,866 miles","Diesel","5 Door","2018 Audi Q2 SUV"
"Peugeot","PARTNER 1.5 BlueHDi 1000 Professional Standard Panel Van 5dr Diesel Manual SWB Euro 6 (100 bhp)","2019","£11,988",1.5,"Manual","48,000 miles","Diesel","5 Door","2019 Peugeot PARTNER"
"Citroen","C5 X 1.2 PureTech 130 Shine 5dr EAT8","2023","£17,845",1.2,"Automatic","11,554 miles","Petrol","4 Door","2023 Citroen C5 X Hatchback"
"Audi","Q7 50 TDI Quattro Launch Edition 5dr Tiptronic","2024","£64,900",3,"Automatic","12,300 miles","Diesel","5 Door","2024 Audi Q7 SUV"
"Volkswagen","Transporter 2.0 TDI 150 Highline Kombi Van","2021","£30,750",2,"Manual","36,000 miles","Diesel","-","2021 Volkswagen Transporter Van"
"Hyundai","Tucson 1.6 TGDi Hybrid 230 SE Connect 5dr 2WD Auto","2023","£24,349",1.6,"Automatic","6,056 miles","-","5 Door","2023 Hyundai Tucson SUV"
"BMW","3 Series 330e SE Pro 4dr Step Auto","2020","£16,945",2,"Automatic","47,038 miles","-","4 Door","2020 BMW 3 Series Saloon"
"Vauxhall","Crossland 1.2 Turbo [130] GS Line 5dr Auto","2022","£14,495",1.2,"Automatic","18,752 miles","Petrol","5 Door","2022 Vauxhall Crossland SUV"
"Skoda","Karoq 2.0 TSI Sportline 4x4 5dr DSG","2024","£30,490",2,"Automatic","5,550 miles","Petrol","5 Door","2024 Skoda Karoq SUV"
"Mazda","MX-30 35.5kWh Prime-Line SUV 5dr Electric Auto (145 ps)","2024","£12,999",NA,"Automatic","14,000 miles","-","5 Door","2024 Mazda MX-30"
"Nissan","Juke 1.0 DiG-T 114 N-Connecta 5dr","2022","£13,490",1,"Manual","26,610 miles","Petrol","5 Door","2022 Nissan Juke SUV"
"BMW","3 Series 330e M Sport 4dr Step Auto","2020","£22,397",2,"Automatic","59,551 miles","-","4 Door","2020 BMW 3 Series Saloon"
"Audi","A6 40 TDI S Line 4dr S Tronic","2020","£25,000",2,"Automatic","36,500 miles","Diesel","4 Door","2020 Audi A6 Saloon"
"Renault","Clio 1.6 E-TECH full hybrid 145 Techno 5dr Auto","2023","£16,295",1.6,"Automatic","12,833 miles","-","5 Door","2023 Renault Clio Hatchback"
"Cupra","Formentor 1.4 eHybrid 204 V2 5dr DSG","2024","£26,049",1.4,"Automatic","2,839 miles","-","5 Door","2024 Cupra Formentor SUV"
"Volkswagen","T-Roc 1.5 TSI EVO Black Edition 5dr","2021","£19,495",1.5,"Manual","29,364 miles","Petrol","5 Door","2021 Volkswagen T-Roc SUV"
"Hyundai","i20 1.0T GDi 48V MHD Premium 5dr","2023","£15,490",1,"Manual","15,087 miles","-","5 Door","2023 Hyundai i20 Hatchback"
"BMW","4 Series 420i M Sport 2dr Step Auto","2022","£26,049",2,"Automatic","16,288 miles","Petrol","2 Door","2022 BMW 4 Series Coupe"
"Audi","A6 Avant 40 TDI Quattro Black Edition 5dr S Tronic [Tech]","2022","£31,850",2,"Automatic","39,595 miles","Diesel","5 Door","2022 Audi A6 Avant Estate"
"Peugeot","3008 1.6 Hybrid 225 GT 5dr e-EAT8","2023","£21,995",1.6,"Automatic","15,781 miles","-","5 Door","2023 Peugeot 3008 SUV"
"Nissan","X-Trail 1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto","2024","£35,999",1.5,"Automatic","10,399 miles","-","5 Door","2024 Nissan X-Trail SUV"
"Ford","Puma 1.0 EcoBoost Hybrid mHEV Titanium 5dr DCT","2024","£19,549",1,"Automatic","15,814 miles","-","5 Door","2024 Ford Puma SUV"
"Toyota","Yaris 1.0 VVT-i Icon Tech 5dr","2017","£8,103",1,"Manual","81,514 miles","Petrol","5 Door","2017 Toyota Yaris Hatchback"
"Audi","S3 S3 TFSI Quattro 5dr S Tronic","2023","£35,490",2,"Automatic","6,542 miles","Petrol","5 Door","2023 Audi S3 Hatchback"
"Nissan","Qashqai 1.5 E-Power Tekna 5dr Auto","2023","£24,429",1.5,"Automatic","23,843 miles","-","5 Door","2023 Nissan Qashqai SUV"
"Fiat","Scudo 1.5 Multijet 120 Van","2024","£30,600",1.5,"Manual","25 miles","Diesel","-","2024 Fiat Scudo Van"
"Hyundai","i10 1.2 [79] Premium 5dr [Nav]","2024","£17,019",1.2,"Manual","102 miles","Petrol","5 Door","2024 Hyundai i10 Hatchback"
"Nissan","Juke 1.6 Hybrid N-Connecta 5dr Auto","2024","£19,475",1.6,"Automatic","6,502 miles","-","5 Door","2024 Nissan Juke SUV"
"Volkswagen","Golf 1.5 TSI 204 Style eHybrid 5dr DSG","2024","£28,770",1.5,"Automatic","19,821 miles","-","5 Door","2024 Volkswagen Golf Hatchback"
"Audi","A6 40 TDI S Line 5dr S Tronic","2021","£30,500",2,"Automatic","17,133 miles","Diesel","5 Door","2021 Audi A6 Estate"
"Kia","Sportage 1.6T GDi HEV GT-Line 5dr Auto","2023","£26,749",1.6,"Automatic","19,686 miles","-","5 Door","2023 Kia Sportage SUV"
"Kia","XCeed 1.5T GDi ISG 3 5dr","2022","£18,695",1.5,"Manual","9,500 miles","Petrol","5 Door","2022 Kia XCeed SUV"
"BMW","3 Series 330d M Sport 4dr Step Auto","2019","£23,550",3,"Automatic","54,767 miles","Diesel","4 Door","2019 BMW 3 Series Saloon"
"Peugeot","208 1.5 BlueHDi Tech Edition Hatchback 5dr Diesel Manual Euro 6 (s/s) (100 ps) 7in Satellite Navigation","2019","£11,325",1.5,"Manual","15,977 miles","Diesel","5 Door","2019 Peugeot 208 Hatchback"
"Volkswagen","Polo GTI 2.0 TSI GTI 5dr DSG","2024","£26,450",2,"Automatic","2,680 miles","Petrol","5 Door","2024 Volkswagen Polo GTI Hatchback"
"Jaguar","I-Pace 294kW EV400 R-Dynamic HSE Black 90kWh 5dr Auto","2025","£44,844",NA,"Automatic","100 miles","-","5 Door","2025 Jaguar I-Pace SUV"
"Peugeot","208 1.2 PureTech 100 GT 5dr","2024","£19,049",1.2,"Manual","4 miles","Petrol","5 Door","2024 Peugeot 208 Hatchback"
"Vauxhall","Corsa 1.2 GS Line 5dr","2022","£12,649",1.2,"Manual","14,812 miles","Petrol","5 Door","2022 Vauxhall Corsa Hatchback"
"Nissan","LEAF N-CONNECTA 40KW 5d 148 BHP","2023","£13,995",0,"Automatic","10,000 miles","-","5 Door","2023 Nissan LEAF Hatchback"
"Volvo","XC90 2.0 B6P Ultimate Dark 5dr AWD Geartronic","2024","£49,995",2,"Automatic","17,397 miles","-","5 Door","2024 Volvo XC90 SUV"
"Mitsubishi","Eclipse Cross 1.5 2 5dr","2019","£11,490",1.5,"Manual","23,611 miles","Petrol","5 Door","2019 Mitsubishi Eclipse Cross SUV"
"Toyota","Yaris 1.5 Hybrid Design 5dr CVT","2021","£16,716",1.5,"Automatic","13,053 miles","-","5 Door","2021 Toyota Yaris Hatchback"
"Ford","PUMA 1.0T EcoBoost MHEV ST-Line SUV 5dr Petrol Hybrid Manual Euro 6 (s/s) (125 ps)","2022","£11,985",1,"Manual","20,883 miles","-","5 Door","2022 Ford PUMA"
"Land","Rover Range Rover Evoque 2.0 D200 R-Dynamic HSE 5dr Auto","2022","£34,870",2,"Automatic","6,300 miles","Diesel","5 Door","2022 Land Rover Range Rover Evoque SUV"
"Renault","Captur 1.3 TCE 130 Iconic 5dr","2021","£11,295",1.3,"Manual","48,197 miles","Petrol","5 Door","2021 Renault Captur SUV"
"BMW","X3 2.0 20d SE SUV 5dr Diesel Auto xDrive Euro 6 (s/s) (190 ps)","2016","£13,699",2,"Automatic","66,194 miles","Diesel","5 Door","2016 BMW X3 SUV"
"Hyundai","i20 1.0T GDi 48V MHD SE Connect 5dr DCT","2021","£14,760",1,"Automatic","12,489 miles","-","5 Door","2021 Hyundai i20 Hatchback"
"Citroen","C4 1.2 PureTech [130] Shine 5dr","2021","£13,644",1.2,"Manual","22,098 miles","Petrol","5 Door","2021 Citroen C4 Hatchback"
"Toyota","Yaris 1.5 Hybrid Icon 5dr CVT","2024","£18,174",1.5,"Automatic","6,189 miles","-","5 Door","2024 Toyota Yaris Hatchback"
"Mercedes","-Benz GLE 3.0 GLE450h MHEV AMG Line (Premium Plus) SUV 5dr Petrol G-Tronic 4MATIC Euro 6 (s/s) (7 Seat) (389 p","2019","£40,995",3,"Automatic","52,709 miles","Petrol","5 Door","2019 Mercedes-Benz GLE"
"Nissan","QASHQAI 1.5 dCi Tekna+ SUV 5dr Diesel Manual Euro 6 (s/s) (110 ps)","2018","£11,499",1.46,"Manual","71,819 miles","Diesel","5 Door","2018 Nissan QASHQAI"
"Toyota","Corolla Touring Sport 2.0 VVT-i Hybrid Design 5dr CVT","2022","£21,295",2,"Automatic","23,654 miles","-","5 Door","2022 Toyota Corolla Touring Sport Estate"
"Vauxhall","Crossland 1.2 Turbo Ultimate 5dr","2023","£16,828",1.2,"Manual","2,712 miles","Petrol","5 Door","2023 Vauxhall Crossland SUV"
"Audi","Q2 30 TFSI 116 S Line 5dr","2024","£27,000",1,"Manual","4,725 miles","Petrol","5 Door","2024 Audi Q2 SUV"
"Peugeot","208 1.2 PureTech 100 Allure Premium + 5dr","2022","£13,997",1.2,"Manual","22,363 miles","Petrol","5 Door","2022 Peugeot 208 Hatchback"
"Audi","A1 35 TFSI S Line 5dr S Tronic","2020","£18,400",1.5,"Automatic","34,014 miles","Petrol","5 Door","2020 Audi A1 Hatchback"
"Ford","Puma 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 5dr","2023","£18,472",1,"Manual","11,305 miles","Petrol","5 Door","2023 Ford Puma SUV"
"Volkswagen","Passat GTE 1.4 TSI PHEV GTE 5dr DSG","2021","£15,400",1.4,"Automatic","72,394 miles","-","5 Door","2021 Volkswagen Passat GTE Estate"
"BMW","1 Series 118i M Sport 5dr Step Auto","2019","£15,400",1.5,"Automatic","62,784 miles","Petrol","5 Door","2019 BMW 1 Series Hatchback"
"Volkswagen","T-Roc 1.0 TSI Life 5dr","2022","£20,170",1,"Manual","14,483 miles","Petrol","5 Door","2022 Volkswagen T-Roc SUV"
"Renault","ZOE R135 EV50 52kWh GT Hatchback 5dr Electric Auto (Rapid Charge) (134 bhp) Media Display, Apple CarPlay","2022","£16,439",NA,"Automatic","6,328 miles","-","5 Door","2022 Renault ZOE Hatchback"
"Volkswagen","Passat Estate 2.0 TDI EVO SCR R-Line 5dr DSG","2023","£28,950",2,"Automatic","7,090 miles","Diesel","5 Door","2023 Volkswagen Passat Estate Estate"
"Audi","Q2 35 TFSI S Line 5dr S Tronic","2024","£29,950",1.5,"Automatic","3,500 miles","Petrol","5 Door","2024 Audi Q2 SUV"
"Toyota","Yaris 1.5 Hybrid Icon 5dr CVT","2021","£15,748",1.5,"Automatic","26,511 miles","-","5 Door","2021 Toyota Yaris Hatchback"
"Volkswagen","Polo GTI 2.0 TSI GTI 5dr DSG","2023","£22,900",2,"Automatic","12,069 miles","Petrol","5 Door","2023 Volkswagen Polo GTI Hatchback"
"Nissan","Qashqai 1.3 DiG-T MH 158 Tekna+ 5dr Xtronic","2022","£23,825",1.3,"Automatic","17,614 miles","-","5 Door","2022 Nissan Qashqai SUV"
